Horizon started successfully.
[2019-05-13 22:50:50][183] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:50][184] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:51][184] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:51][185] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:51][185] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:51][186] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:52][186] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:52][187] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:53][187] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:53][188] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:53][188] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:53][189] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:54][189] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:54][190] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:55][190] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:55][191] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:55][191] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:55][192] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:56][192] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:56][193] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:57][193] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:57][194] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:57][194] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:57][195] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:58][195] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:58][196] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:59][196] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:59][197] Processing: App\Jobs\ProcessDois
[2019-05-13 22:50:59][197] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:50:59][198] Processing: App\Jobs\ProcessDois
[2019-05-13 22:51:00][198] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:51:00][199] Processing: App\Jobs\ProcessDois
[2019-05-13 22:51:01][199] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:51:01][200] Processing: App\Jobs\ProcessDois
[2019-05-13 22:51:01][200] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:51:01][201] Processing: App\Jobs\ProcessDois
[2019-05-13 22:51:04][201] Processed:  App\Jobs\ProcessDois
[2019-05-13 22:51:04][202] Processing: App\Jobs\ProcessDois
[2019-05-13 22:51:05][202] Processed:  App\Jobs\ProcessDois
